,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
10960,5130844,5762,4.33,1.0368,6.687,0.129,11164.61,1.463,0.7561,0,---
10961,5130888,5155,4.56,0.8744,8.599,0.022000000000000002,18962.41,1.254,0.6558,0,---
10962,5131026,5860,4.33,1.0651,8.948,0.11699999999999999,2150.77,0.998,0.607,0,---
10963,5131480,5678,4.6,1.0132,2.983,0.036000000000000004,14377.95,1.524,0.763,0,---
10964,5131600,5670,4.68,1.011,7.183,0.013000000000000001,14788.39,1.3619999999999999,0.7392,0,---
10965,5131601,4476,4.61,0.6936,24.378,0.12,9890.26,1.092,0.6143,0,---
10966,5164397,5421,4.3,0.9437,15.288,0.031,18883.5,1.177,0.6623,0,---
10967,5164410,4942,4.42,0.8192,16.855,0.225,16102.52,1.137,0.6598,0,---
10968,5164536,4957,4.35,0.8231,33.297,6.7989999999999995,2582.19,0.53,0.3384,0,---
10969,5164618,4767,4.47,0.7732,33.964,1.193,5313.52,0.631,0.3923,0,---
10970,5165452,5800,4.02,1.0477,15.985999999999999,0.084,7530.45,1.028,0.5884,0,---
10971,5165628,4698,4.45,0.7548,23.958000000000002,5.297000000000001,5825.79,0.598,0.3732,0,---
10972,5165799,5629,4.46,0.9997,6.631,0.005,13602.61,1.2990000000000002,0.7036,0,---
10973,5165870,5856,4.34,1.0639,3.322,0.003,4087.03,1.181,0.638,0,---
10974,5166247,4949,4.61,0.821,17.67,0.049,13363.36,1.3519999999999999,0.682,0,---
10975,5166347,4441,4.42,0.6836,21.956999999999997,0.38799999999999996,14699.34,1.101,0.6408,0,---
10976,5166452,4931,4.48,0.8163,13.209000000000001,0.003,9847.22,1.11,0.6094,0,---
10977,5166567,4804,4.45,0.7829999999999999,25.105,0.095,12497.51,1.022,0.5867,0,---
10978,5166815,5278,4.55,0.9062,4.8,0.008,82040.79,1.579,0.7838,0,---
10979,5166861,4933,4.13,0.8169,48.152,10.37,1292.17,0.539,0.2612,0,SM1
